Name,Version,License,Author,URL
PTable,0.9.2,BSD (3 clause),Kane Blueriver,https://github.com/kxxoling/PTable
UNKNOWN,0.0.0,UNKNOWN,UNKNOWN,UNKNOWN
attrs,19.3.0,MIT,Hynek Schlawack,https://www.attrs.org/
backports.ssl-match-hostname,3.5.0.1,Python Software Foundation License,Toshio Kuratomi,http://bitbucket.org/brandon/backports.ssl_match_hostname
certifi,2020.4.5.1,MPL-2.0,Kenneth Reitz,https://certifiio.readthedocs.io/en/latest/
chardet,3.0.4,LGPL,Daniel Blanchard,https://github.com/chardet/chardet
colorama,0.4.3,BSD,Jonathan Hartley,https://github.com/tartley/colorama
configobj,4.7.2,UNKNOWN,Michael Foord & Nicola Larosa,http://www.voidspace.org.uk/python/configobj.html
contextlib2,0.6.0.post1,PSF License,Nick Coghlan,http://contextlib2.readthedocs.org
decorator,3.4.0,BSD License,Michele Simionato,http://pypi.python.org/pypi/decorator
docopt,0.6.2,MIT,Vladimir Keleshev,http://docopt.org
enum34,1.1.10,BSD License,Ethan Furman,https://bitbucket.org/stoneleaf/enum34
functools32,3.2.3.post2,PSF license,ENDOH takanao,https://github.com/MiCHiLU/python-functools32
futures,3.3.0,PSF,Brian Quinlan,https://github.com/agronholm/pythonfutures
idna,2.9,BSD-like,Kim Davies,https://github.com/kjd/idna
importlib-metadata,1.6.0,Apache Software License,Barry Warsaw,http://importlib-metadata.readthedocs.io/
iniparse,0.4,MIT,Paramjit Oberoi,http://code.google.com/p/iniparse/
ipaddress,1.0.16,Python Software Foundation License,Philipp Hagemeister,https://github.com/phihag/ipaddress
ipython-genutils,0.2.0,BSD,IPython Development Team,http://ipython.org
javapackages,1.0.0,BSD,javapackages maintainers,https://fedorahosted.org/javapackages/
jsonschema,3.2.0,UNKNOWN,Julian Berman,https://github.com/Julian/jsonschema
jupyter-core,4.6.3,BSD,Jupyter Development Team,https://jupyter.org
kitchen,1.1.1,LGPLv2+,Toshio Kuratomi,https://fedorahosted.org/kitchen
lxml,3.2.1,UNKNOWN,lxml dev team,http://lxml.de/
nbformat,5.0.6,BSD,Jupyter Development Team,http://jupyter.org
pathlib2,2.3.5,MIT,Matthias C. M. Troffaes,https://github.com/mcmtroffaes/pathlib2
perf,0.1,GPLv2,Arnaldo Carvalho de Melo,http://perf.wiki.kernel.org
pigar,0.10.0,The BSD 3-Clause License,damnever,https://github.com/damnever/pigar
pip,20.1.1,MIT,The pip developers,https://pip.pypa.io/
pip-licenses,1.18.0,MIT License,raimon,https://github.com/raimon49/pip-licenses
pipreqs,0.4.10,Apache License,Vadim Kravcenko,https://github.com/bndr/pipreqs
pycurl,7.19.0,LGPL/MIT,Kjetil Jacobsen, Markus F.X.J. Oberhumer,http://pycurl.sourceforge.net/
pygobject,3.22.0,GNU LGPL,James Henstridge,http://www.pygtk.org/
pygpgme,0.3,LGPL,James Henstridge,https://launchpad.net/pygpgme
pyliblzma,0.5.3,LGPL 3 ,Per Øyvind Karlsen,https://launchpad.net/pyliblzma
pyrsistent,0.16.0,MIT,Tobias Gustafsson,http://github.com/tobgu/pyrsistent/
python-linux-procfs,0.4.9,GPLv2,Arnaldo Carvalho de Melo,http://userweb.kernel.org/python-linux-procfs
pyudev,0.15,LGPL 2.1+,Sebastian Wiesner,http://pyudev.readthedocs.org/
pyxattr,0.5.1,LGPL,Iustin Pop,http://pyxattr.k1024.org/
requests,2.23.0,Apache 2.0,Kenneth Reitz,https://requests.readthedocs.io
scandir,1.10.0,New BSD License,Ben Hoyt,https://github.com/benhoyt/scandir
schedutils,0.4,UNKNOWN,Arnaldo Carvalho de Melo,http://fedoraproject.org/wiki/python-schedutils
setuptools,0.9.8,PSF or ZPL,Python Packaging Authority,https://pypi.python.org/pypi/setuptools
six,1.15.0,MIT,Benjamin Peterson,https://github.com/benjaminp/six
slip,0.4.0,UNKNOWN,UNKNOWN,UNKNOWN
slip.dbus,0.4.0,UNKNOWN,UNKNOWN,UNKNOWN
traitlets,4.3.3,BSD,IPython Development Team,http://ipython.org
urlgrabber,3.10,LGPL,Michael D. Stenner, Ryan Tomayko,http://urlgrabber.baseurl.org/
urllib3,1.25.9,MIT,Andrey Petrov,https://urllib3.readthedocs.io/
yarg,0.1.9,MIT,Kura,https://yarg.readthedocs.org/
yum-metadata-parser,1.1.4,UNKNOWN,UNKNOWN,UNKNOWN
